Family;Genus;Species;Species English
Pinguipedidae;Parapercis;bimacula;Twospot Sandperch
Pinguipedidae;Parapercis;clathrata;Latticed Sandperch
Pinguipedidae;Parapercis;cylindrica;Sharpnose Sandperch
Pinguipedidae;Parapercis;hexophtalma;Speckled Sandperch
Pinguipedidae;Parapercis;lineopunctata;Nosestripe Sandperch
Pinguipedidae;Parapercis;millepunctata;Spotted Sandperch
Pinguipedidae;Parapercis;schauinslandii;Red-Spotted Sandperch
Pinguipedidae;Parapercis;snyderi;Blackfin Sandperch
Pinguipedidae;Parapercis;tetracantha;Reticulated Sandperch
Pinguipedidae;Parapercis;xanthozona;Whitestripe Sandperch
Pempheridae;Parapriacanthus;guentheri;Goldhead Sweeper
Pempheridae;Parapriacanthus;ransonneti;Golden Sweeper
Soleidae;Pardachirus;marmoratus;Red Sea Moses Sole
Microdesmidae;Parioglossus;philippinus;Philippines Dartfish
Microdesmidae;Parioglossus;raoi;Rao's Dartfish
Mullidae;Parupeneus;barberinoides;Bicolor Goatfish
Mullidae;Parupeneus;barberinus;Dash-Dot Goatfish
Mullidae;Parupeneus;crassilabris;Doublebar Goatfish
Mullidae;Parupeneus;cyclostomus;Goldsaddle Goatfish
Mullidae;Parupeneus;forsskali;Red Sea Goatfish
Mullidae;Parupeneus;heptacantha;Cinnabar Goatfish
Mullidae;Parupeneus;indicus;Indian Goatfish
Mullidae;Parupeneus;macronemus;Longbarbel Goatfish
Mullidae;Parupeneus;multifasciatus;Manybar Goatfish
Mullidae;Parupeneus;pleurostigma;Sidespot Goatfish
Dasyatidae;Pastinachus;sephen;Fantail Stingray
Pegasidae;Pegasus;volitans;Slender Seamoth
Pempheridae;Pempheris;adusta;Dusky Sweeper
Pempheridae;Pempheris;flavicycla;NA
Pempheridae;Pempheris;oualensis;Copper Sweeper
Pempheridae;Pempheris;schwenkii;Silver Sweeper
Pempheridae;Pempheris;tominagai;African Silver Sweeper
Pempheridae;Pempheris;vanicolensis;Vanikolo Sweeper
Nemipteridae;Pentapodus;aureofasciatus;Yellow-Striped Whiptail
Nemipteridae;Pentapodus;caninus;Small-Toothed Whiptail
Nemipteridae;Pentapodus;emeryii;Double Whiptail
Nemipteridae;Pentapodus;trivittatus;Three-Striped Whiptail
Gobiidae;Periophthalmus;argentilineatus;Barred Mudskipper
Gobiidae;Periophthalmus;kalolo;Common Mudskipper
Monacanthidae;Pervagor;aspricaudus;Orangetail Filefish
Monacanthidae;Pervagor;janthinosoma;Blackbar Filefish
Monacanthidae;Pervagor;melanocephalus;Blackhead Filefish
Monacanthidae;Pervagor;nigrolineatus;Blackline Filefish
Blenniidae;Petroscirtes;breviceps;Shorthead Fangblenny
Blenniidae;Petroscirtes;mitratus;Highfin Fangblenny
Blenniidae;Petroscirtes;variabilis;Variable Sabretooth Blenny
Pholidichthyidae;Pholidichthys;leucotaenia;Convict Blenny
Gobiidae;Phyllogobius;platycephalops;Flathead Goby
Pseudochromidae;Pictichromis;paccagnellae;Royal Dottyback
Pseudochromidae;Pictichromis;porphyrea;Magenta Dottyback
Blenniidae;Plagiotremus;laudandus;Bicolor Fangblenny
